ta;Ubike;Ibike;Ua;Ia1;Ia2;Ia3;Sa1;Sa2;Sa3;Din1;DMka;DZka;Ika;Din2;Temp1;Temp2;Bpos;DMhr;v;dzp;Temp3;Pbike;Pa1;Pa2;Pa3;s;FW;UF;Marke;ERR
26088;0,0;-0,02;42,01;-0,52;0,02;0,21;1050;0;0;0;4,39;22,9;6;32;254,0;254,0;0;0,22;4,6;26;90,5;-0,0;10,54;0,67;6,93;19,16;12,85;-0,0;0;0
26098;0,0;-0,02;42,0;-0,89;-0,02;0,14;1050;0;0;0;4,24;22,9;6;32;254,0;254,0;0;0,22;4,6;27;90,5;-0,0;10,17;0,8;4,85;19,2;12,82;-0,0;0;0
26108;0,0;-0,02;42,01;-0,47;0,03;0,17;1050;0;0;0;4,63;22,9;6;32;254,0;254,0;0;0,22;4,6;27;90,5;-0,0;11,11;1,09;5,78;19,2;12,79;-0,0;0;0
26118;0,0;-0,02;42,0;-0,94;0,01;0,01;1050;0;0;0;4,43;23,7;7;32;254,0;254,0;0;0,22;4,6;27;90,5;-0,0;10,98;0,25;0,46;19,2;12,77;-0,0;0;0
26128;0,0;-0,02;42,01;-0,66;0,02;0,07;1050;0;0;0;4,8;23,7;7;32;254,0;254,0;0;0,22;4,5;28;90,5;-0,0;11,92;0,67;2,31;19,24;12,74;-0,0;0;0
26138;0,0;-0,01;42,01;-0,99;0,01;0,01;1050;0;0;0;4,94;23,7;7;32;254,0;254,0;0;0,21;4,5;28;90,5;-0,0;12,26;0,25;0,46;19,24;12,69;-0,0;0;0
26148;0,0;-0,01;42,0;-0,87;0,01;0,1;1050;0;0;0;5,57;23,7;7;32;254,0;254,0;0;0,21;4,5;28;90,5;-0,0;13,83;0,25;3,47;19,24;12,65;-0,0;0;0
26158;0,0;-0,02;42,0;-0,78;0,04;0,14;1050;0;0;0;6,09;23,8;8;32;254,0;254,0;0;0,21;4,5;29;90,5;-0,0;15,17;1,3;4,62;19,28;12,6;-0,0;0;0
26168;0,0;-0,01;42,02;-0,79;0,02;0,29;1050;0;0;0;6,19;23,8;8;32;254,0;254,0;0;0,21;4,5;29;90,5;-0,0;15,43;0,67;9,71;19,28;12,55;-0,0;0;0
26178;0,0;-0,03;42,01;-0,91;0,0;0,21;1050;0;0;0;6,6;23,8;8;32;254,0;254,0;0;0,21;4,5;29;90,5;-0,0;16,44;0,04;7,16;19,28;12,5;-0,0;0;0
26188;0,0;-0,03;42,0;-1,01;0,0;0,16;1050;0;0;0;7,29;23,1;9;32;254,0;254,0;0;0,21;4,5;30;90,5;-0,0;17,63;0,04;5,31;19,32;12,45;-0,0;0;0
26198;0,0;-0,02;42,0;-0,89;0,0;0,01;1050;0;0;0;7,7;23,1;9;32;254,0;254,0;0;0,2;4,5;30;90,5;-0,0;18,63;0,04;0,23;19,32;12,39;-0,0;0;0
26208;0,0;-0,03;42,01;-1,02;0,04;0,03;1050;0;0;0;8,26;23,1;9;32;254,0;254,0;0;0,2;4,5;30;90,5;-0,0;19,97;1,3;1,16;19,32;12,33;-0,0;0;0
26218;0,0;-0,02;42,01;-1,04;0,0;-0,01;1050;0;0;0;9,15;23,1;9;32;254,0;254,0;0;0,2;4,5;30;90,5;-0,0;22,12;0,04;-0,23;19,32;12,27;-0,0;0;0
26228;0,0;-0,03;42,01;-0,84;-0,0;0,12;1050;0;0;0;9,51;23,2;10;32;254,0;254,0;0;0,2;4,5;31;90,5;-0,0;23,09;0,17;4,16;19,36;12,21;-0,0;0;0
